time,sensor,value
1450538362,fridge,10.1875,
1450538363,freezer,-7.6875,
1450538373,fridge,10.1875,
1450538374,freezer,-7.6875,
1450538385,fridge,10.1875,
1450538385,freezer,-7.6875,
1450538396,fridge,10.25,
1450538397,freezer,-7.6875,
1450538407,fridge,10.25,
1450538408,freezer,-7.75,
1450538419,fridge,10.3125,
1450538419,freezer,-7.75,
1450538430,fridge,10.3125,
1450538431,freezer,-7.6875,
1450538441,fridge,10.375,
1450538442,freezer,-7.6875,
1450538453,fridge,10.375,
1450538453,freezer,-7.6875,
1450538464,fridge,10.375,
1450538465,freezer,-7.6875,
1450538475,fridge,10.4375,
1450538476,freezer,-7.6875,
1450538487,fridge,10.4375,
1450538487,freezer,-7.625,
1450538498,fridge,10.5,
1450538499,freezer,-7.625,
1450538509,fridge,10.5,
1450538510,freezer,-7.5625,
1450538521,fridge,10.5625,
1450538521,freezer,-7.5625,
1450538532,fridge,10.5625,
1450538533,freezer,-7.5,
1450538543,fridge,10.5625,
1450538544,freezer,-7.5625,
1450538555,fridge,10.625,
1450538555,freezer,-7.75,
1450538566,fridge,10.5625,
1450538567,freezer,-7.9375,
1450538577,fridge,10.5625,
1450538578,freezer,-8.125,
1450538589,fridge,10.5,
1450538589,freezer,-8.3125,
1450538600,fridge,10.5,
1450538601,freezer,-8.5,
1450538611,fridge,10.4375,
1450538612,freezer,-8.625,
1450538623,fridge,10.4375,
1450538623,freezer,-8.8125,
1450538634,fridge,10.375,
1450538635,freezer,-8.9375,
1450538645,fridge,10.375,
1450538646,freezer,-9.0625,
1450538657,fridge,10.375,
1450538657,freezer,-9.1875,
1450538668,fridge,10.375,
1450538669,freezer,-9.3125,
1450538679,fridge,10.3125,
1450538680,freezer,-9.375,
1450538691,fridge,10.3125,
1450538691,freezer,-9.5,
1450538702,fridge,10.3125,
1450538703,freezer,-9.5625,
1450538713,fridge,10.3125,
1450538714,freezer,-9.6875,
1450538725,fridge,10.25,
1450538725,freezer,-8.4375,
1450538736,fridge,10.3125,
1450538737,freezer,-8.375,
1450538747,fridge,10.3125,
1450538748,freezer,-8.4375,
1450538759,fridge,10.375,
1450538759,freezer,-8.625,
1450538770,fridge,10.375,
1450538771,freezer,-8.75,
1450538781,fridge,10.375,
1450538782,freezer,-8.9375,
1450538793,fridge,10.375,
1450538793,freezer,-9.0625,
1450538804,fridge,10.4375,
1450538805,freezer,-9.25,
1450538815,fridge,10.375,
1450538816,freezer,-9.375,
1450538827,fridge,10.375,
1450538827,freezer,-9.5,
1450538838,fridge,10.375,
1450538839,freezer,-9.625,
1450538849,fridge,10.375,
1450538850,freezer,-9.75,
1450538861,fridge,10.375,
1450538861,freezer,-9.875,
1450538872,fridge,10.375,
1450538873,freezer,-10,
1450538883,fridge,10.375,
1450538884,freezer,-10.125,
1450538895,fridge,10.375,
1450538895,freezer,-10.1875,
1450538906,fridge,10.3125,
1450538907,freezer,-10.3125,
1450538917,fridge,10.375,
1450538918,freezer,-10.375,
1450538929,fridge,10.3125,
1450538929,freezer,-10.5,
1450538940,fridge,10.3125,
1450538941,freezer,-10.5,
1450538951,fridge,10.3125,
1450538952,freezer,-9.4375,
1450538963,fridge,10.3125,
1450538963,freezer,-8,
1450538974,fridge,10.3125,
1450538975,freezer,-8.125,
1450538985,fridge,10.3125,
1450538986,freezer,-8.3125,
1450538997,fridge,10.25,
1450538997,freezer,-8.4375,
1450539008,fridge,10.25,
1450539009,freezer,-8.5625,
1450539019,fridge,10.25,
1450539020,freezer,-8.75,
1450539031,fridge,10.25,
1450539031,freezer,-8.875,
1450539042,fridge,10.25,
1450539043,freezer,-7.5,
1450539053,fridge,10.25,
1450539054,freezer,-7.3125,
1450539065,fridge,10.25,
1450539065,freezer,-7.5,
1450539076,fridge,10.25,
1450539077,freezer,-7.625,
1450539087,fridge,10.1875,
1450539088,freezer,-7.8125,
1450539099,fridge,10.1875,
1450539099,freezer,-8.0625,
1450539110,fridge,10.1875,
1450539111,freezer,-8.1875,
1450539121,fridge,10.1875,
1450539122,freezer,-8.375,
1450539133,fridge,10.1875,
1450539133,freezer,-8.5625,
1450539144,fridge,10.1875,
1450539145,freezer,-8.6875,
1450539155,fridge,10.1875,
1450539156,freezer,-8.875,
1450539167,fridge,10.125,
1450539167,freezer,-9.0625,
1450539178,fridge,10.125,
1450539179,freezer,-9.1875,
1450539189,fridge,10.125,
1450539190,freezer,-9.375,
1450539201,fridge,10.0625,
1450539201,freezer,-9.5,
1450539212,fridge,10.125,
1450539213,freezer,-9.625,
1450539223,fridge,10.0625,
1450539224,freezer,-9.8125,
1450539235,fridge,10.0625,
1450539235,freezer,-9.9375,
1450539246,fridge,10.0625,
1450539247,freezer,-10.0625,
1450539257,fridge,10,
1450539258,freezer,-10.1875,
1450539269,fridge,10,
1450539269,freezer,-10.3125,
1450539280,fridge,10,
1450539281,freezer,-10.5,
1450539291,fridge,10,
1450539292,freezer,-10.625,
1450539303,fridge,10,
1450539303,freezer,-10.75,
1450539314,fridge,9.9375,
1450539315,freezer,-10.875,
1450539325,fridge,9.9375,
1450539326,freezer,-11,
1450539337,fridge,9.9375,
1450539337,freezer,-11.0625,
1450539348,fridge,9.9375,
1450539349,freezer,-11.1875,
1450539359,fridge,9.875,
1450539360,freezer,-11.375,
1450539371,fridge,9.875,
1450539371,freezer,-11.4375,
1450539382,fridge,9.875,
1450539383,freezer,-11.5625,
1450539393,fridge,9.8125,
1450539394,freezer,-11.6875,
1450539405,fridge,9.8125,
1450539405,freezer,-11.8125,
1450539416,fridge,9.8125,
1450539417,freezer,-11.875,
1450539427,fridge,9.8125,
1450539428,freezer,-12,
1450539439,fridge,9.8125,
1450539439,freezer,-12.0625,
1450539450,fridge,9.75,
1450539451,freezer,-12.1875,
1450539461,fridge,9.75,
1450539462,freezer,-12.3125,
1450539473,fridge,9.6875,
1450539473,freezer,-12.375,
1450539484,fridge,9.6875,
1450539485,freezer,-12.5,
1450539495,fridge,9.6875,
1450539496,freezer,-12.5625,
1450539507,fridge,9.6875,
1450539507,freezer,-12.6875,
1450539518,fridge,9.625,
